case_id,query,期望,尝试次数,答案来源,答案首次提及等级,答案提及等级列表,等级精确,答案含KC卡ID,答案含技能ID,证据含期望KC卡ID,证据含期望技能文档,Top1可回答性,Top1相似度,Top1说明,调用数,调用明细,答案摘录
RETR-137,如何判断创新与方案比较等级3，需要哪些证据？,SKILL-047 L3,1,ws,3,"3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3,3,3,3",是,否,是,是,是,3,0.8882,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[创新与方案比较 等级3]n=5top=0.888,## 如何判断创新与方案比较等级3？需要哪些证据？ 根据技能知识库中 **创新与方案比较（SKILL-047）** 的定义，以下是等级3的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-047 | | **所属领域** | 问题解决与产品思维 | | **技能定义** | 提出多个方案并基于约束选择 | | **评分区间** | 0–1
RETR-138,如何判断职业伦理与隐私等级5，需要哪些证据？,SKILL-054 L5,1,ws,5,"5,5,5,5,5,5,5,3,5,5,3,4,3,5,3,5,5,5,4,5",是,否,是,是,是,3,0.919,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[职业伦理与隐私等级5]n=5top=0.919,## 职业伦理与隐私等级5的判断标准与证据要求 根据技能知识库（SKILL-054）的记录，以下是关于 **职业伦理与隐私等级5** 的详细信息： --- ### 📌 基本信息 - **技能ID**：SKILL-054 - **所属领域**：沟通协作与职业素养 - **技能定义**：遵守**最小必要、授权、透明和公平**四大原则 - **评分区间**：0–100 分 --- ### 🎯 等级5能力要求 > **设计复杂方案、评估风险并指
RETR-164,如何判断软件工程等级2，需要哪些证据？,SKILL-007 L2,1,ws,2,"2,2,2,2,1,2,3,4,5,1,2,2,1,1,2,1,2,3,1,2,3,2,1",是,否,是,是,是,3,0.8459,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[软件工程等级2判断证据]n=5top=0.846,## 如何判断软件工程等级2？需要哪些证据？ 根据技能知识库中 **软件工程（SKILL-007）** 的定义，以下是等级2的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-007 | | **所属领域** | 编程与计算基础 | | **技能定义** | 模块化、接口、代码规范和可维护性 | | **评分区间** | 0–100 分 
RETR-165,如何判断Excel与BI工具等级4，需要哪些证据？,SKILL-014 L4,1,ws,4,"4,4,4,4,3,4,4,4,4,2,3,4,3,5,3,4,5,4,4,4,3,5",是,否,是,是,是,3,0.9217,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[Excel与BI工具等级]n=5top=0.922,## Excel与BI工具等级4的判断标准与证据要求 根据技能知识库（SKILL-014）的记录，以下是关于 **Excel与BI工具等级4** 的详细信息： --- ### 📌 基本信息 - **技能ID**：SKILL-014 - **所属领域**：数据处理与分析 - **技能定义**：使用电子表格和BI工具完成分析与报告 - **评分区间**：0–100 分 --- ### 🎯 等级4能力要求 > **独立完成常见任务、解释方法并
RETR-166,如何判断深度学习等级1，需要哪些证据？,SKILL-022 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1,1",是,否,是,是,是,3,0.7927,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[深度学习等级1判断标准证据]n=5top=0.793,## 如何判断深度学习等级1？需要哪些证据？ 根据技能知识库中 **深度学习（SKILL-022）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-022 | | **所属领域** | 机器学习与算法 | | **技能定义** | 理解神经网络并使用主流框架训练模型 | | **评分区间** | 0–100 分
RETR-167,如何判断智能体开发等级3，需要哪些证据？,SKILL-029 L3,1,ws,3,"3,3,3,3,1,2,3,4,5,2,3,3,2,3,4,2,3,4,3,3,3,3",是,否,是,是,是,3,0.8875,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[智能体开发 等级3 证据]n=5top=0.888,## 如何判断智能体开发等级3？需要哪些证据？ 根据技能知识库中 **智能体开发（SKILL-029）** 的定义，以下是等级3的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-029 | | **所属领域** | 大模型与AI应用 | | **技能定义** | 设计工具调用、记忆、规划和状态管理 | | **评分区间** | 0–10
RETR-168,如何判断Docker容器等级5，需要哪些证据？,SKILL-036 L5,1,ws,5,"5,5,5,5,1,2,3,4,5,4,5,5,3,5,3,5,5,5,5,5",是,否,是,是,是,3,0.8444,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[Docker容器等级5判断标准证据]n=5top=0.844,## 如何判断 Docker容器 等级5？需要哪些证据？ 根据技能知识库中 **Docker容器（SKILL-036）** 的定义，以下是等级5的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-036 | | **所属领域** | 工程部署与工具 | | **技能定义** | 编写镜像并复现运行环境 | | **评分区间** | 0–1
RETR-169,如何判断用户研究等级2，需要哪些证据？,SKILL-044 L2,1,ws,2,"2,2,2,2,1,2,2,2,2,1,2,3,1,2,3,2,2,2,3,2,2,3",是,否,是,是,是,3,0.9094,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[用户研究等级2]n=5top=0.909,## 用户研究等级2的判断标准与证据要求 根据技能知识库（SKILL-044）的记录，以下是关于 **用户研究等级2** 的详细信息： --- ### 📌 基本信息 - **技能ID**：SKILL-044 - **所属领域**：问题解决与产品思维 - **技能定义**：通过**访谈和测试**识别真实需求 - **评分区间**：0–100 分 --- ### 🎯 等级2能力要求 > **理解基础概念，并能在指导下完成任务** 等级2与等
RETR-170,如何判断远程协作等级4，需要哪些证据？,SKILL-051 L4,1,ws,4,"4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4,4,4",是,否,是,是,是,3,0.8371,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[远程协作 等级4 判断证据]n=5top=0.837,## 如何判断远程协作等级4？需要哪些证据？ 根据技能知识库中 **远程协作（SKILL-051）** 的定义，以下是等级4的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-051 | | **所属领域** | 沟通协作与职业素养 | | **技能定义** | 异步同步结合管理信息、责任和进度 | | **评分区间** | 0–100 
RETR-171,如何判断复盘与反馈等级1，需要哪些证据？,SKILL-059 L1,1,ws,1,"1,1,1,1,1,1,2",是,否,是,是,是,3,0.8538,Top1=期望技能整篇(等级标准+证据要求),1,技能知识库[复盘与反馈等级1 判断标准 证据]n=5top=0.854,## 复盘与反馈 · 等级1 判断标准与所需证据 根据知识库中 **SKILL-059（复盘与反馈）** 的定义，该技能属于**学习成长与项目实践**领域，核心含义是**从结果和反馈中调整方法**。 --- ### 📌 等级1的判断标准 等级1的核心要求是： 1. **理解基础概念**：知道什么是复盘、什么是反馈，理解它们的基本流程和意义。 2. **在指导下完成任务**：能在他人（如导师、组长）的引导下，按照给定的复盘框架或模板完成一
RETR-196,如何判断计算机系统基础等级1，需要哪些证据？,SKILL-004 L1,1,ws,1,"1,1,1,1,1,2,3,4,5,1,1,1,2,3,1,2,3,1,1",是,否,是,是,是,3,0.9256,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[计算机系统基础技能定义等级]n=5top=0.926 ; 岗位技能要求库[计算机系统基础]n=5top=0.508,## 如何判断计算机系统基础等级1？需要哪些证据？ 根据技能知识库中 **计算机系统基础（SKILL-004）** 的定义，以下是等级1的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-004 | | **所属领域** | 编程与计算基础 | | **技能定义** | 理解操作系统、存储、进程与计算资源 | | **评分区间** | 0
RETR-197,如何判断统计学基础等级3，需要哪些证据？,SKILL-011 L3,1,ws,3,"3,3,3,1,3,1,3,3,3,3,3,4",是,否,是,是,是,3,0.9108,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[统计学基础等级3]n=5top=0.911 ; 岗位技能要求库[统计学基础等级3]n=5top=0.559,"## 统计学基础 · 等级3 判断标准与所需证据 根据知识库中 **SKILL-011（统计学基础）** 的定义，该技能属于**数据处理与分析**领域，核心含义是**描述统计、分布、估计和假设检验**。 --- ### 📌 等级3的判断标准 等级3的核心要求是：**独立完成常见任务、解释方法并处理异常**。 与等级1-2（""理解基础概念并在指导下完成任务""）相比，等级3有以下关键跃升： | 维度 | 等级1-2 | 等级3 | |---"
RETR-198,如何判断微积分与优化等级5，需要哪些证据？,SKILL-018 L5,1,ws,5,"5,5,1,3,5,5,5,5,5,5",是,否,是,是,是,3,0.9103,Top1=期望技能整篇(等级标准+证据要求),3,技能知识库[微积分与优化等级5]n=5top=0.910 ; 学习资源库[微积分与优化]n=5top=0.912 ; 岗位技能要求库[微积分与优化]n=5top=0.511,## 微积分与优化 · 等级5 判断标准与所需证据 根据知识库中 **SKILL-018（微积分与优化）** 的定义，该技能属于**机器学习与算法**领域，核心含义是**理解梯度、损失函数和常见优化方法**。 --- ### 📌 等级体系的进阶逻辑 先看完整等级框架，帮助你定位等级5的跃升点： | 等级 | 核心要求 | 关键词 | |---|---|---| | **等级1-2** | 理解基础概念并在指导下完成任务 | 跟着做 | 
RETR-199,如何判断提示词设计等级2，需要哪些证据？,SKILL-026 L2,1,ws,2,"2,1,2,1,2,2,2,1,1,2,2,2,3",是,否,是,是,是,3,0.9224,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[提示词设计等级2]n=5top=0.922 ; 岗位技能要求库[提示词设计等级2]n=5top=0.544,"## 提示词设计 · 等级2 判断标准与所需证据 根据知识库中 **SKILL-026（提示词设计）** 的定义，该技能属于**大模型与AI应用**领域，核心含义是**设计结构化提示并迭代评估输出**。 --- ### 📌 等级框架定位 先梳理等级1与等级2的区别——两者同属""理解基础概念 + 在指导下完成任务""的区间，但深度不同： | 维度 | 等级1 | 等级2 | |---|---|---| | **概念理解** | 知道什么是提"
RETR-200,如何判断Git版本控制等级4，需要哪些证据？,SKILL-033 L4,1,ws,4,"4,4,4,4,1,2,3,4,5,3,4,4,4,3,4,3,4,4,4,4,4",是,否,是,是,是,3,0.8936,Top1=期望技能整篇(等级标准+证据要求),2,技能知识库[Git版本控制 等级4 判断标准]n=5top=0.894 ; 岗位技能要求库[Git版本控制 技能要求]n=5top=0.563,## 如何判断 Git版本控制 等级4？需要哪些证据？ 根据技能知识库中 **Git版本控制（SKILL-033）** 的定义，以下是等级4的判断标准和所需证据： --- ### 📌 技能基本信息 | 项目 | 内容 | |------|------| | **技能ID** | SKILL-033 | | **所属领域** | 工程部署与工具 | | **技能定义** | 使用分支、合并、审查和版本标签协作 | | **评分区间** |
