case_id,query,expected_card_ids,expected_doc,covered_by,本库是否覆盖,hit
RETR-183,数据建模能力测评-015适合什么水平，预计需要多长时间？,KC-RES-0435,资源卡 KC-RES-0435,学习资源库（待建，表格型）,否,
RETR-184,团队协作能力测评-052适合什么水平，预计需要多长时间？,KC-RES-0472,资源卡 KC-RES-0472,学习资源库（待建，表格型）,否,
RETR-185,智能体开发能力测评-089适合什么水平，预计需要多长时间？,KC-RES-0509,资源卡 KC-RES-0509,学习资源库（待建，表格型）,否,
RETR-186,Linux使用职业应用指南-006适合什么水平，预计需要多长时间？,KC-RES-0546,资源卡 KC-RES-0546,学习资源库（待建，表格型）,否,
RETR-187,需求分析职业应用指南-043适合什么水平，预计需要多长时间？,KC-RES-0583,资源卡 KC-RES-0583,学习资源库（待建，表格型）,否,
RETR-188,AI算法工程师与特征工程在岗位匹配中如何体现？,KC-ROLE-AI-ALG-020,岗位技能卡 KC-ROLE-AI-ALG-020,岗位技能要求库（待建，表格型）,否,
RETR-189,AI算法工程师与项目规划在岗位匹配中如何体现？,KC-ROLE-AI-ALG-057,岗位技能卡 KC-ROLE-AI-ALG-057,岗位技能要求库（待建，表格型）,否,
RETR-190,AI应用开发工程师与API设计在岗位匹配中如何体现？,KC-ROLE-AI-APP-034,岗位技能卡 KC-ROLE-AI-APP-034,岗位技能要求库（待建，表格型）,否,
RETR-191,数据分析师与统计学基础在岗位匹配中如何体现？,KC-ROLE-DATA-011,岗位技能卡 KC-ROLE-DATA-011,岗位技能要求库（待建，表格型）,否,
RETR-192,数据分析师与书面沟通在岗位匹配中如何体现？,KC-ROLE-DATA-048,岗位技能卡 KC-ROLE-DATA-048,岗位技能要求库（待建，表格型）,否,
RETR-193,数据可视化趋势数据解释应如何向用户解释？,KC-TREND-013,SKILL-013（数据可视化）趋势段,趋势数据解释（归属待定）,否,
RETR-194,模型微调数据使用边界应如何向用户解释？,KC-ETHICS-031,SKILL-031（模型微调）合规段,隐私与合规边界（归属待定）,否,
RETR-195,跨岗位沟通趋势数据解释应如何向用户解释？,KC-TREND-050,SKILL-050（跨岗位沟通）趋势段,趋势数据解释（归属待定）,否,
RETR-196,如何判断计算机系统基础等级1，需要哪些证据？,KC-SKILL-004-L1,★ SKILL-004_计算机系统基础.md,技能知识库（已建）,是,
RETR-197,如何判断统计学基础等级3，需要哪些证据？,KC-SKILL-011-L3,★ SKILL-011_统计学基础.md,技能知识库（已建）,是,
RETR-198,如何判断微积分与优化等级5，需要哪些证据？,KC-SKILL-018-L5,★ SKILL-018_微积分与优化.md,技能知识库（已建）,是,
RETR-199,如何判断提示词设计等级2，需要哪些证据？,KC-SKILL-026-L2,★ SKILL-026_提示词设计.md,技能知识库（已建）,是,
RETR-200,如何判断Git版本控制等级4，需要哪些证据？,KC-SKILL-033-L4,★ SKILL-033_Git版本控制.md,技能知识库（已建）,是,
